,song,artist
57,Just The Way,Parmalee x Blanco Brown
58,Proud Of You,Young Thug Featuring Lil Uzi Vert & Yung Kayo
59,Willow,Taylor Swift
60,Damage,H.E.R.
61,Richer,Rod Wave Featuring Polo G
62,Glad You Exist,Dan + Shay
63,La Noche de Anoche,Bad Bunny & Rosalia
64,Settling Down,Miranda Lambert
65,Came And Saw,Young Thug Featuring Rowdy Rebel
66,Headshot,"Lil Tjay, Polo G & Fivio Foreign"
67,Anyone,Justin Bieber
68,Down To One,Luke Bryan
69,Lady,Brett Young
70,Quicksand,Morray
71,One Too Many,Keith Urban Duet With P!nk
72,Famous Friends,Chris Young + Kane Brown
73,Gone,Dierks Bentley
74,My Head And My Heart,Ava Max
75,Almost Maybes,Jordan Davis
76,Paid The Fine,Young Thug & Gunna Featuring Lil Baby & YTB Trench
77,The Business,Tiesto
78,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
79,Masterpiece,DaBaby
80,pov,Ariana Grande
81,Long Live,Florida Georgia Line
82,Hellcats & Trackhawks,Lil Durk
83,Follow You,Imagine Dragons
84,Momma's House,Dustin Lynch
85,Nobody,Dylan Scott
86,Big Gangsta,Kevin Gates
87,Pick Up Your Feelings,Jazmine Sullivan
88,Lil Bit,Nelly & Florida Georgia Line
89,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift
90,Chasing After You,Ryan Hurd With Maren Morris
91,Wasted On You,Morgan Wallen
92,Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo
93,Arcade,Duncan Laurence
94,You Got It,VEDO
95,Go!,Moneybagg Yo Featuring BIG30
96,Drankin N Smokin,Future & Lil Uzi Vert
97,Monsters,All Time Low Featuring Demi Lovato & blackbear 
98,Slatty,Young Thug & Gunna Featuring Yak Gotti & Lil Duke
99,4 Da Gang,42 Dugg & Roddy Ricch
